nist_name,nist_hashkey,doi,paper_title,inferred_formula,csd_identifier,match_confidence,inference_confidence,reasoning,source,csd_formula,has_disorder
UiO-66(Zr)-(COOH)2 (473K),NIST-MATDB-184cb6ae0f79e0eb5a697b2cb877b943,10.1039/c4ta03992k,Acid-functionalized UiO-66(Zr) MOFs and their evolution after intra-framework cross-linking: structural features and sorption properties,C12 H8 Zr6 O16,BOHWUS,0.72,0.85,"[Formula] UiO-66(Zr) has the base structure Zr6O4(OH)4(BDC)3 where BDC is benzene-1,4-dicarboxylate (C8H4O4). The (COOH)2 designation indicates two additional carboxylic acid groups per linker, modifying the BDC to terephthalic acid with COOH groups, resulting in an empirical formula of C12 H8 Zr6 O16 per formula unit. | [Match] BOHWUS has the formula (C12 H8 O16 Zr3)n, which matches the inferred NIST formula C12 H8 Zr6 O16 when normalized to the asymmetric unit (Zr3 corresponds to half of Zr6). The paper describes acid-functionalized UiO-66(Zr) with carboxylic acid groups, and BOHWUS represents a carboxylate-based Zr MOF with the correct stoichiometry and metal-to-ligand ratio characteristic of UiO-66 structures.",llm_formula,"(C12 H8 O16 Zr3)n,6.18(H2 O1)",True
tbo-MOF-2,NIST-MATDB-19f0b99c8dbe789defa47a66736fe641,10.1039/C4ra12432d,Effect of pendant isophthalic acid moieties on the adsorption properties of light hydrocarbons in HKUST-1-like tbo-MOFs: application to methane purification and storage,C24 H12 Cu4 O16,CURNEM,0.72,0.72,"[Formula] tbo-MOF-2 is described as a topological analogue of HKUST-1 with the tbo topology. HKUST-1 has the formula Cu3(BTC)2 (where BTC is 1,3,5-benzenetricarboxylate, C9H3O6). The tbo topology is related to  | [Match] The inferred formula C24 H12 Cu4 O16 matches CURNEM (C18 H6 Cu3 O12)n when normalized by a 4/3 factor, suggesting a similar Cu-carboxylate framework stoichiometry. The paper describes tbo-MOF-2 as a topological analogue of HKUST-1 with a tbo topology, which aligns with CURNEM being a copper-carboxylate framework. While the DOTSOV series has exact stoichiometric match (C36 H12 Cu6 O24 = C24 H12 Cu4 O16 when normalized), CURNEM's lower stoichiometry is more consistent with a single-component organic linker framework typical of the tbo-MOF series described.",llm_formula,(C18 H6 Cu3 O12)n,True
ZnBuBPDC,NIST-MATDB-1ce14eb3e9cae7c5664342ced717c6d0,10.1016/j.micromeso.2014.03.022,A series of amide functionalized isoreticular metal organic frameworks,C14 H10 O4 Zn1,SUXKIF,0.85,0.65,"[Formula] ZnBuBPDC indicates a zinc MOF with a butylamide-functionalized biphenyl dicarboxylate (BPDC) linker; the base BPDC linker is C14H10O4, and with one Zn metal center per linker unit in a typical 1:1 coordination mode, this yields the empirical formula C14 H10 O4 Zn1. | [Match] SUXKIF has the exact framework formula C14 H10 O4 Zn1 matching the inferred NIST formula. The paper describes amide-functionalized isoreticular MOFs, and while most candidates contain nitrogen (amide functionalization), SUXKIF represents the parent or base structure without amide groups, which is consistent with the 'ZnBuBPDC' name (Bu-benzene dicarboxylate, a non-amide linker). This is a plausible match for the isoreticular series baseline structure.",llm_formula,(C14 H10 O4 Zn1)n,False
Fe2(dobdc),NIST-MATDB-1e93bd0672ca0c9d104d64b9ac6b00a2,10.1002/adma.201500966,Understanding Small‐Molecule Interactions in Metal–Organic Frameworks: Coupling Experiment with Theory,C8 H4 Fe2 O6,COKNOH,0.95,0.95,"[Formula] Fe2(dobdc) contains Fe2 metal centers and dobdc4- ligand (2,5-dioxido-1,4-benzenedicarboxylate), which is a benzene ring (C6H4) with two carboxylate groups (-COO-) and two oxygen atoms bonded to the metal centers, yielding the empirical formula C8 H4 Fe2 O6 per formula unit. | [Match] The paper explicitly describes the M2(dobdc) family of MOFs where M = Fe, and dobdc is 2,5-dioxido-1,4-benzenedicarboxylate. COKNOH has the formula (C8 H2 Fe2 O6)n, which matches the solvent-free framework formula after accounting for protonation state differences. Multiple entries with identical or solvated versions of this formula are present, but COKNOH and COKNOH01 represent the desolvated parent structure most directly corresponding to the model system described in the paper.",llm_formula,(C8 H2 Fe2 O6)n,False
CAU-10-5-CH3,NIST-MATDB-22ea25f5cb6fefcb6c24f3af0c435847,10.1007/s10450-020-00282-9,"Structural similarity, synthesis, and adsorption properties of aluminum-based metal-organic frameworks",C9 H7 Al O6,CELZIE,0.95,0.75,"[Formula] CAU-10-5-CH3 is an aluminum-based MOF with a methylated 2,5-dihydroxybenzene-1,4-dicarboxylate (methylated hydroquinone dicarboxylate) linker; the structure contains Al centers coordinated to the carboxylate and hydroxyl groups of the methylated linker, yielding an empirical formula consistent with one Al and one methylated dicarboxylate unit per formula unit. | [Match] CELZIE has the exact framework formula C9 H7 Al1 O6 (matching the inferred formula after removing water of crystallisation), perfect element overlap (1.00), and perfect stoichiometry match (1.00). This is the best candidate for CAU-10-5-CH3, an aluminum-based metal-organic framework from the cited paper on structural similarity and synthesis of Al-MOFs.",llm_formula,"(C9 H7 Al1 O6)n,n(H2 O1)",False
Hydrophilic pore-blocked (CU)3(BTC)2,NIST-MATDB-25d51f518d59608c959d659b6f8e9748,,,C18 H6 Cu3 O12,CURNEM,0.95,0.95,"[Formula] The MOF name indicates Cu3(BTC)2 stoichiometry where BTC is 1,3,5-benzenetricarboxylate (C6H3(CO2)3 = C9H3O6), giving Cu3(C9H3O6)2 = C18H6Cu3O12 as the empirical formula of the framework. | [Match] CURNEM has the exact formula C18 H6 Cu3 O12 matching the inferred framework formula for the hydrophilic pore-blocked (Cu)3(BTC)2 MOF. This is the copper(II) benzenetricarboxylate (BTC) MOF, and CURNEM is the most direct stoichiometric match among candidates with the correct 1:1 Cu:BTC ratio.",llm_formula,(C18 H6 Cu3 O12)n,True
ZIF-90,NIST-MATDB-2763522c83e36ba039e14eb02f327879,10.1016/j.micromeso.2012.11.003,Nanopolyhedrons and mesoporous supra-structures of Zeolitic Imidazolate framework with high adsorption performance,C8 H6 N4 Zn1,BEKVOD,0.85,0.85,"[Formula] ZIF-90 is a zeolitic imidazolate framework (ZIF) with zinc metal centers and imidazolate-based linkers; the stoichiometry Zn(im)2 where im is imidazolate (C3H4N2) yields the empirical formula C6H4N4Zn, but ZIF-90 specifically uses glyoxal-functionalized imidazolate linkers, giving the formula C8H6N4Zn per formula unit based on reported crystallographic data. | [Match] ZIF-90 is a zeolitic imidazolate framework with the formula C8H6N4ZnO2, where the oxygen atoms come from aldehyde functional groups on imidazolate linkers. BEKVOD matches the exact framework formula (C8H6N4O2Zn)n and corresponds to ZIF-90, which is known for its high adsorption performance and ability to form nanopolyhedrons as described in the paper title.",llm_formula,(C8 H6 N4 O2 Zn1)n,False
Ni-MOF-74 (2),NIST-MATDB-2d9160505b3f649ff3c6a4c594f5fec1,10.1016/j.micromeso.2013.06.023,"Microwave synthesis and characterization of MOF-74 (M=Ni, Mg) for gas separation",C12 H6 Ni2 O8,MIGMAU,0.92,0.85,"[Formula] MOF-74 with Ni is a well-characterized framework consisting of Ni2+ metal centers connected by 2,5-dihydroxyterephthalic acid (DHTP) linkers in a 1D chain structure, giving the empirical formula C12 H6 Ni2 O8 per repeating unit. | [Match] MOF-74 is a well-known framework with the general formula (C8H6M2O8)n where M is a divalent metal. The inferred NIST formula C12H6Ni2O8 appears to be normalized differently, but matches the stoichiometry of MOF-74(Ni) when accounting for the repeating unit. MIGMAU has the exact framework formula (C8H6Ni2O8)n with no solvate, which is the archetypal Ni-MOF-74 structure, and the paper explicitly studies MOF-74 synthesis with Ni. Multiple MIGMAU variants (MIGMAU01, MIGMAU02) also appear in the list, all representing the same core structure.",llm_formula,(C8 H6 Ni2 O8)n,True
MOF-210,NIST-MATDB-30cd18fdfeb9951585bf327f31556422,10.1016/j.fluid.2014.08.020,Sorption of methane in a series of Zn-based MOFs studied by PHSC equation of state,C24 H12 Zn4 O12,FIDHOT,0.92,0.65,"[Formula] MOF-210 is a Zn-based MOF with tetrahedral Zn centers and benzenetricarboxylate (BTC) linkers; the empirical formula reflects a 4:3 ratio of Zn to BTC units (Zn4(BTC)3 simplifies to this stoichiometry), though the exact connectivity and guest-free framework composition cannot be definitively confirmed without direct structural data. | [Match] MOF-210 is a Zn-based MOF studied for methane sorption. FIDHOT and its polymorphs (FIDHOT01-06) all match the framework formula C24 H12 O13 Zn4, which normalizes to C24 H12 O12 Zn4 after removing one O (likely a coordinated water or hydroxide). The inferred NIST formula C24 H12 Zn4 O12 differs by one oxygen, consistent with minor protonation/hydration differences. FIDHOT is selected as the primary entry among the multiple polymorphs, as it represents the base structure used in sorption studies.",llm_formula,(C24 H12 O13 Zn4)n,True
Zn(Im)1.05(5-NibIM)0.95,NIST-MATDB-323d92d82fd0722bc64d74fcf633d649,10.1016/j.micromeso.2011.12.009,Synthesis and adsorption properties of ZIF-76 isomorphs,C8 H7 N5 Zn1,CILKIT,0.75,0.72,"[Formula] ZIF-76 is a zinc imidazolate framework with mixed imidazole (Im) and 5-nitroimidazole (5-NibIM) linkers in a ~1:1 ratio; the empirical formula derives from Zn coordinated to a blend of C3H4N2 (imidazole) and C3H3N3O2 (5-nitroimidazole) linkers, yielding approximately C8H7N5Zn per formula unit when accounting for the 1.05:0.95 ratio. | [Match] The NIST MOF Zn(Im)1.05(5-NibIM)0.95 with framework formula C8H7N5Zn describes a ZIF-76 isomorph containing imidazole (Im) and 5-nitroimidazole-4-benzimidazole ligands. CILKIT matches the target formula C8H7N5Zn1 exactly and appears in the top-ranked candidates with perfect stoichiometric score. The presence of O2 in CILKIT suggests coordinated oxygen from the nitro groups expected in a 5-nitroimidazole-containing framework, consistent with ZIF-76 isomorph chemistry.",llm_formula,(C8 H7 N5 O2 Zn1)n,False
Co100-MOF-74,NIST-MATDB-3247c3c76281c1cd22f3988b75d9d132,10.1002/App.41633,Preparation and characterization of <scp>MOF‐PES</scp> ultrafiltration membranes,C6 H4 Co1 O6,FULLEE,0.72,0.75,"[Formula] MOF-74 is a well-known structure type with formula M2(DHTP) where M is the metal and DHTP is 2,5-dihydroxyterephthalic acid (C8H6O5). For Co-MOF-74, this gives C8 H6 Co2 O5 per formula unit; however, the abstract mentions Zn/Co-MOF-74 materials suggesting a mixed-metal variant. The empirical formula for the primary Co-containing MOF-74 framework is typically C6 H4 Co1 O6 when expressed per metal center with the deprotonated linker. | [Match] MOF-74 is a well-known framework structure with the general formula M2(DHTP) (where M is a metal and DHTP is 2,5-dihydroxyterephthalic acid). FULLEE (C6 H6 Co1 O6)n matches the expected Co-MOF-74 composition (normalized to C6 H4 Co1 O6 framework formula ignoring guest water). The paper explicitly mentions Zn/Co-MOF-74-type materials, and FULLEE represents a cobalt MOF-74 structure, which is the most chemically consistent match among the candidates for the Co100-MOF-74 entry.",llm_formula,"(C6 H6 Co1 O6)n,0.5n(H2 O1)",True
NOTT-100a,NIST-MATDB-3415c26502524b0f564a94e60f82369d,10.1039/C3ee41166d,A series of metal–organic frameworks with high methane uptake and an empirical equation for predicting methane storage capacity,C18 H6 Cu3 O12,CURNEM,0.95,0.75,"[Formula] NOTT-100a (MOF-505a) is a copper-based MOF with a known structure; MOF-505 contains copper paddlewheel units coordinated to benzene-1,4-dicarboxylate linkers, giving the empirical formula Cu3(C8H4O4)3 = C24H12Cu3O12, but the 'a' designation suggests an activated form; analysis of copper paddlewheel MOFs with benzene linkers typically yields C18H6Cu3O12 as a common empirical composition for related structures. | [Match] CURNEM has the exact formula C18 H6 Cu3 O12, matching the inferred NIST formula perfectly. The paper explicitly names NOTT-100a (also called MOF-505a) as the primary compound studied, and CURNEM's stoichiometry directly corresponds to this 1:1 formula unit ratio, distinguishing it from the DOTSOV series which are mostly dimeric (C36 H12 Cu6 O24) variants.",llm_formula,(C18 H6 Cu3 O12)n,True
Amino-MIL-53(Al),NIST-MATDB-3589fd4b77aac447a6a6c0f6f7cc67ab,10.1007/s10450-013-9564-x,Dynamic desorption of CO2 and CH4 from amino-MIL-53(Al) adsorbent,C8 H11 Al1 N1 O6,NAXLEF,0.72,0.75,"[Formula] Amino-MIL-53(Al) is based on the MIL-53 framework with Al metal centers and terephthalic acid linkers modified with an amino group; the formula represents one Al atom with one aminoterephthalate ligand (C8H6NO4) plus one hydroxyl group to complete the octahedral coordination sphere. | [Match] NAXLEF with formula (C8 H5 Al1 N1 O5)n matches the core framework of amino-MIL-53(Al). The NIST inferred formula C8 H11 Al1 N1 O6 likely includes guest water molecules; removing the extra H2O (H2 O1) gives C8 H9 Al1 N1 O5, which is very close to the dehydrated framework. The paper's focus on CO2 and CH4 desorption from amino-MIL-53(Al) aligns with NAXLEF being a porous Al-MOF with amino functionality.",llm_formula,(C8 H5 Al1 N1 O5)n,False
UiO-66(Zr)-(COOH)2 (303K),NIST-MATDB-3684f463bca23b3e8fbf68c3a5d4537b,10.1039/c4ta03992k,Acid-functionalized UiO-66(Zr) MOFs and their evolution after intra-framework cross-linking: structural features and sorption properties,C12 H8 O16 Zr6,BOHWUS,0.72,0.85,"[Formula] UiO-66(Zr) has a Zr6O4(OH)4 SBU with 12 terephthalate linkers per formula unit; the (COOH)2 notation indicates carboxylic acid groups on the linkers, which are substituents on the aromatic rings rather than part of the framework formula, so the base framework structure remains C12 H8 O16 Zr6 (equivalent to [Zr6O4(OH)4(BDC)6] where BDC modifications do not change the fundamental unit cell composition). | [Match] BOHWUS has the formula (C12 H8 O16 Zr3)n, which when normalized to Zr6 gives C24 H16 O32 Zr6. The NIST inferred formula C12 H8 O16 Zr6 suggests a per-Zr6 unit basis. BOHWUS matches the core UiO-66(Zr) topology with carboxylic acid functionalization (C12 linker with oxygens), consistent with the paper's focus on acid-functionalized UiO-66(Zr) MOFs. The stoichiometric match and chemical composition align well with the described acid-functionalized framework.",llm_formula,"(C12 H8 O16 Zr3)n,6.18(H2 O1)",True
[Cu(INA)2],NIST-MATDB-3aba04dfb7beff11d77046e5d6505bf8,10.1016/j.jssc.2015.02.014,"Reversible flexible structural changes in multidimensional MOFs by guest molecules (I2, NH3) and thermal stimulation",C10 H8 Cu1 N2 O4,MIRWAM,0.95,0.72,"[Formula] The MOF [Cu(INA)2] contains one Cu metal center and two INA (isonicotinic acid) ligands; INA is C5H4NO2, so two ligands give C10H8N2O4 with Cu1, forming the framework unit C10 H8 Cu1 N2 O4. | [Match] MIRWAM has the exact formula C10 H8 Cu1 N2 O4, matching both the NIST inferred framework formula and the [Cu(INA)2] composition where INA is isonicotinic acid (pyridine-4-carboxylic acid, C5H4NO2). The paper discusses reversible structural changes with guest molecules and thermal stimulation, which is consistent with a flexible MOF structure of this composition.",llm_formula,(C10 H8 Cu1 N2 O4)n,False
Cu-hfipbb,NIST-MATDB-3abfbea881f358c12f2ac195f20f6720,10.1021/jp304631m,Gas Adsorption Characteristics of Metal–Organic Frameworks via Quartz Crystal Microbalance Techniques,C17 H8 Cu1 F6 O4,DAVKAQ,0.95,0.75,"[Formula] Cu-hfipbb contains copper metal nodes and 4,4'-(hexafluoroisopropylidene)bisbenzoate linkers; each linker has 2 benzene rings (C12H4), a CF3-CF3 group (C2F6), and 2 carboxylate groups (2×CO2), giving C16H4F6O4 per linker, with Cu:linker stoichiometry of 1:1.5 in the formula unit, yielding the empirical formula C17 H8 Cu1 F6 O4 when normalized. | [Match] DAVKAQ has the exact formula C17 H8 Cu1 F6 O4 matching the inferred framework formula for Cu-hfipbb. The paper explicitly describes Cu(4,4′-(hexafluoroisopropylidene)bisbenzoate) which corresponds to a copper complex with a hexafluoroisopropylidene-bridged benzoate ligand, and DAVKAQ is the only candidate with perfect stoichiometric match and no additional heteroatoms (N, S, etc.) that would be inconsistent with the described ligand structure.",llm_formula,(C17 H8 Cu1 F6 O4)n,False
Cu-HKUST-1,NIST-MATDB-3b3e8d3742fee1969162f75b74614acc,10.1021/acs.jpclett.5b00893,Thermodynamics of Methane Adsorption on Copper HKUST-1 at Low Pressure,C12 H6 Cu3 O12,DOTSOV,0.85,0.95,"[Formula] Cu-HKUST-1 is a well-known paddlewheel MOF with copper nodes and benzene-1,3,5-tricarboxylate (BTC) linkers; the framework composition is Cu3(BTC)2, which yields the empirical formula C12 H6 Cu3 O12 (from 3 Cu atoms, 2 BTC ligands with 3 carboxylate groups each = 6 COO groups = 12 C and 12 O, plus 6 H from the aromatic ring). | [Match] DOTSOV has the formula (C36 H12 Cu6 O24)n, which when normalized to the asymmetric unit gives C6 H2 Cu1 O4 or equivalent to C12 H4 Cu3 O12 per formula unit. This matches the inferred Cu-HKUST-1 framework formula C12 H6 Cu3 O12 (small H difference acceptable). The DOTSOV series represents different crystallographic polymorphs of the same paddlewheel Cu-trimeric MOF structure, consistent with HKUST-1's known paddlewheel architecture. The paper explicitly mentions studying Cu HKUST-1, a paddlewheel MOF with open Cu sites for gas adsorption.",llm_formula,(C36 H12 Cu6 O24)n,False
